Entry	Protein names	Gene names	Organism	Entry name
Q8BMK0	Centrosomal protein of 85 kDa (Cep85) (Coiled-coil domain-containing protein 21)	Cep85 Ccdc21	Mus musculus (Mouse)	CEP85_MOUSE
P70694	Estradiol 17 beta-dehydrogenase 5 (EC 1.1.1.-) (17-beta-HSD 5)	Akr1c6 Hsd17b5	Mus musculus (Mouse)	DHB5_MOUSE
P60334	Cysteine dioxygenase type 1 (EC 1.13.11.20) (Cysteine dioxygenase type I) (CDO) (CDO-I)	Cdo1	Mus musculus (Mouse)	CDO1_MOUSE
P04235	T-cell surface glycoprotein CD3 delta chain (T-cell receptor T3 delta chain) (CD antigen CD3d)	Cd3d T3d	Mus musculus (Mouse)	CD3D_MOUSE
Q5SS90	Uncharacterized protein C7orf57 homolog	Gm11992	Mus musculus (Mouse)	CG057_MOUSE
Q9DAR0	Uncharacterized protein C5orf49 homolog (Y regulated sperm protein)		Mus musculus (Mouse)	CE049_MOUSE
Q8BJQ9	Chondroitin sulfate N-acetylgalactosaminyltransferase 1 (CsGalNAcT-1) (EC 2.4.1.174) (Chondroitin beta-1,4-N-acetylgalactosaminyltransferase 1) (Beta4GalNAcT-1)	Csgalnact1 Chgn Galnact1	Mus musculus (Mouse)	CGAT1_MOUSE
Q9D9G3	Cysteine-rich hydrophobic domain-containing protein 2	Chic2	Mus musculus (Mouse)	CHIC2_MOUSE
E9Q7P9	Cadherin-related family member 2	Cdhr2	Mus musculus (Mouse)	CDHR2_MOUSE
Q8K4K1	Centrin-4 (Centrin4)	Cetn4 Cen4	Mus musculus (Mouse)	CETN4_MOUSE
E9Q309	Centrosome-associated protein 350 (Cep350)	Cep350 Kiaa0480	Mus musculus (Mouse)	CE350_MOUSE
Q9CPY3	Sororin (Cell division cycle-associated protein 5)	Cdca5	Mus musculus (Mouse)	CDCA5_MOUSE
Q9CQ82	Centromere protein R (CENP-R) (Nuclear receptor-interacting factor 3)	Itgb3bp Cenpr Nrif3	Mus musculus (Mouse)	CENPR_MOUSE
Q8CIN6	CUGBP Elav-like family member 3 (CELF-3) (Bruno-like protein 1) (CUG-BP- and ETR-3-like factor 3) (ELAV-type RNA-binding protein 1) (ETR-1) (RNA-binding protein BRUNOL-1) (Trinucleotide repeat-containing gene 4 protein)	Celf3 Tnrc4	Mus musculus (Mouse)	CELF3_MOUSE
Q62447	Cyclin-C	Ccnc	Mus musculus (Mouse)	CCNC_MOUSE
P51678	Probable C-C chemokine receptor type 3 (C-C CKR-3) (CC-CKR-3) (CCR-3) (CCR3) (CKR3) (Macrophage inflammatory protein 1-alpha receptor-like 2) (MIP-1 alpha RL2) (CD antigen CD193)	Ccr3 Cmkbr1l2 Cmkbr3	Mus musculus (Mouse)	CCR3_MOUSE
Q8K2Y9	Cerebral cavernous malformations protein 2 homolog (Malcavernin) (Osmosensing scaffold for MEKK3)	Ccm2 Osm	Mus musculus (Mouse)	CCM2_MOUSE
Q9CX25	Uncharacterized protein C10orf143 homolog		Mus musculus (Mouse)	CJ143_MOUSE
P51683	C-C chemokine receptor type 2 (C-C CKR-2) (CC-CKR-2) (CCR-2) (CCR2) (JE/FIC receptor) (MCP-1 receptor) (CD antigen CD192)	Ccr2 Cmkbr2	Mus musculus (Mouse)	CCR2_MOUSE
Q8BG92	Clavesin-2 (Retinaldehyde-binding protein 1-like 2)	Clvs2 Rlbp1l2	Mus musculus (Mouse)	CLVS2_MOUSE
Q9D131	UPF0686 protein C11orf1 homolog		Mus musculus (Mouse)	CK001_MOUSE
Q00609	T-lymphocyte activation antigen CD80 (Activation B7-1 antigen) (B7) (CD antigen CD80)	Cd80 B7	Mus musculus (Mouse)	CD80_MOUSE
Q8CF31	Uncharacterized protein C11orf94 homolog		Mus musculus (Mouse)	CK094_MOUSE
Q91YN0	Protein C12orf4 homolog	D6Wsu163e	Mus musculus (Mouse)	CL004_MOUSE
Q9Z0F4	Calcium and integrin-binding protein 1 (CIB) (Calmyrin) (DNA-PKcs-interacting protein) (Kinase-interacting protein) (KIP)	Cib1 Cib Kip Prkdcip	Mus musculus (Mouse)	CIB1_MOUSE
Q9QZR9	Collagen alpha-4(IV) chain	Col4a4	Mus musculus (Mouse)	CO4A4_MOUSE
P63168	Dynein light chain 1, cytoplasmic (8 kDa dynein light chain) (DLC8) (Dynein light chain LC8-type 1) (Protein inhibitor of neuronal nitric oxide synthase) (PIN) (mPIN)	Dynll1 Dlc1 Dncl1 Dnclc1	Mus musculus (Mouse)	DYL1_MOUSE
P02463	Collagen alpha-1(IV) chain [Cleaved into: Arresten]	Col4a1	Mus musculus (Mouse)	CO4A1_MOUSE
Q8CCC3	Uncharacterized protein C12orf56 homolog		Mus musculus (Mouse)	CL056_MOUSE
Q810N5	Uncharacterized protein C12orf60 homolog		Mus musculus (Mouse)	CL060_MOUSE
Q3U962	Collagen alpha-2(V) chain	Col5a2	Mus musculus (Mouse)	CO5A2_MOUSE
Q04857	Collagen alpha-1(VI) chain	Col6a1	Mus musculus (Mouse)	CO6A1_MOUSE
Q8BXK9	Chloride intracellular channel protein 5	Clic5	Mus musculus (Mouse)	CLIC5_MOUSE
P06684	Complement C5 (Hemolytic complement) [Cleaved into: Complement C5 beta chain; Complement C5 alpha chain; C5a anaphylatoxin; Complement C5 alpha' chain]	C5 Hc	Mus musculus (Mouse)	CO5_MOUSE
Q8C6K9	Collagen alpha-6(VI) chain	Col6a6	Mus musculus (Mouse)	CO6A6_MOUSE
Q80TV8	CLIP-associating protein 1 (Cytoplasmic linker-associated protein 1)	Clasp1 Kiaa0622	Mus musculus (Mouse)	CLAP1_MOUSE
Q05722	Collagen alpha-1(IX) chain	Col9a1	Mus musculus (Mouse)	CO9A1_MOUSE
Q63870	Collagen alpha-1(VII) chain (Long-chain collagen) (LC collagen)	Col7a1	Mus musculus (Mouse)	CO7A1_MOUSE
Q8CFC7	CLK4-associating serine/arginine rich protein (Clk4-associating SR-related protein) (Serine/arginine-rich splicing factor 16) (Splicing factor, arginine/serine-rich 16) (Suppressor of white-apricot homolog 2)	Clasrp Clasp Sfrs16 Srsf16 Swap2	Mus musculus (Mouse)	CLASR_MOUSE
Q8K182	Complement component C8 alpha chain (Complement component 8 subunit alpha)	C8a	Mus musculus (Mouse)	CO8A_MOUSE
Q8BH35	Complement component C8 beta chain (Complement component 8 subunit beta)	C8b	Mus musculus (Mouse)	CO8B_MOUSE
Q9D979	Uncharacterized protein C17orf64 homolog		Mus musculus (Mouse)	CQ064_MOUSE
Q3V3I5	Uncharacterized protein C17orf67 homolog	Gm525	Mus musculus (Mouse)	CQ067_MOUSE
Q8BGJ3	Uncharacterized protein C17orf100 homolog		Mus musculus (Mouse)	CQ100_MOUSE
Q8K482	EMILIN-2 (Basilin) (Elastin microfibril interface-located protein 2) (Elastin microfibril interfacer 2)	Emilin2	Mus musculus (Mouse)	EMIL2_MOUSE
Q60847	Collagen alpha-1(XII) chain	Col12a1	Mus musculus (Mouse)	COCA1_MOUSE
O35206	Collagen alpha-1(XV) chain [Cleaved into: Restin (Endostatin-XV)]	Col15a1	Mus musculus (Mouse)	COFA1_MOUSE
P40223	Granulocyte colony-stimulating factor receptor (G-CSF receptor) (G-CSF-R) (CD antigen CD114)	Csf3r Csfgr	Mus musculus (Mouse)	CSF3R_MOUSE
A2APF3	Transcriptional repressor CTCFL (Brother of the regulator of imprinted sites) (CCCTC-binding factor) (CTCF paralog) (CTCF-like protein)	Ctcfl Boris	Mus musculus (Mouse)	CTCFL_MOUSE
Q9CVI2	Protein FAM133B	Fam133b	Mus musculus (Mouse)	F133B_MOUSE
A0A1B0GQX3	Cortexin domain containing 2	Ctxnd2	Mus musculus (Mouse)	CTXD2_MOUSE
Q7TMB8	Cytoplasmic FMR1-interacting protein 1 (Specifically Rac1-associated protein 1) (Sra-1)	Cyfip1 Kiaa0068 Shyc Sra1	Mus musculus (Mouse)	CYFP1_MOUSE
Q80TT8	Cullin-9 (CUL-9) (p53-associated parkin-like cytoplasmic protein)	Cul9 Kiaa0708 Parc	Mus musculus (Mouse)	CUL9_MOUSE
Q3TUL7	DDB1- and CUL4-associated factor 17	Dcaf17	Mus musculus (Mouse)	DCA17_MOUSE
Q60900	ELAV-like protein 3 (Hu-antigen C) (HuC)	Elavl3 Huc	Mus musculus (Mouse)	ELAV3_MOUSE
Q9DB76	ER membrane protein complex subunit 9 (Protein FAM158A)	Emc9 Cgi112 Fam158a	Mus musculus (Mouse)	EMC9_MOUSE
P56542	Deoxyribonuclease-2-alpha (EC 3.1.22.1) (Acid DNase) (Deoxyribonuclease II alpha) (DNase II alpha) (Lysosomal DNase II)	Dnase2 Dnase2a Dnl2	Mus musculus (Mouse)	DNS2A_MOUSE
Q3V124	EP300-interacting inhibitor of differentiation 3 (EID-3) (EID-1-like inhibitor of differentiation 3) (Non-structural maintenance of chromosomes element 4 homolog B) (NS4EB) (Non-SMC element 4 homolog B)	Eid3	Mus musculus (Mouse)	EID3_MOUSE
Q8K273	ER membrane protein complex subunit 5 (Membrane magnesium transporter 1) (Transmembrane protein 32)	Mmgt1 Emc5 Tmem32	Mus musculus (Mouse)	EMC5_MOUSE
A2AF47	Dedicator of cytokinesis protein 11 (Activated Cdc42-associated guanine nucleotide exchange factor) (ACG) (Zizimin-2)	Dock11 Ziz2	Mus musculus (Mouse)	DOC11_MOUSE
Q8C255	Dipeptidase 2 (EC 3.4.13.19) (Membrane-bound dipeptidase 2) (MBD-2)	Dpep2 Mbd2	Mus musculus (Mouse)	DPEP2_MOUSE
Q8BUR4	Dedicator of cytokinesis protein 1 (180 kDa protein downstream of CRK) (DOCK180)	Dock1	Mus musculus (Mouse)	DOCK1_MOUSE
Q80VR2	RNA polymerase II elongation factor ELL3	Ell3	Mus musculus (Mouse)	ELL3_MOUSE
Q8K2H3	Protein FAM13B	Fam13b Fam13b1	Mus musculus (Mouse)	FA13B_MOUSE
P35689	DNA excision repair protein ERCC-5 (EC 3.1.-.-) (DNA repair protein complementing XP-G cells homolog) (Xeroderma pigmentosum group G-complementing protein homolog)	Ercc5 Ercc-5 Xpg	Mus musculus (Mouse)	ERCC5_MOUSE
Q78TU8	Actin-associated protein FAM107A	Fam107a	Mus musculus (Mouse)	F107A_MOUSE
Q8K2D0	Protein FAM199X	Fam199x	Mus musculus (Mouse)	F199X_MOUSE
Q07968	Coagulation factor XIII B chain (Protein-glutamine gamma-glutamyltransferase B chain) (Transglutaminase B chain)	F13b Cf13b	Mus musculus (Mouse)	F13B_MOUSE
Q6A0A9	Constitutive coactivator of PPAR-gamma-like protein 1 (Oxidative stress-associated Src activator) (Protein FAM120A)	FAM120A Kiaa0183 Ossa	Mus musculus (Mouse)	F120A_MOUSE
Q8BVM7	Flagellum-associated coiled-coil domain-containing protein 1 (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 12 protein homolog)	Flacc1 Als2cr12	Mus musculus (Mouse)	FACC1_MOUSE
P70266	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1 (6PF-2-K/Fru-2,6-P2ase 1) (PFK/FBPase 1) (6PF-2-K/Fru-2,6-P2ase liver isozyme) [Includes: 6-phosphofructo-2-kinase (EC 2.7.1.105); Fructose-2,6-bisphosphatase (EC 3.1.3.46)]	Pfkfb1	Mus musculus (Mouse)	F261_MOUSE
Q71KT5	Delta(14)-sterol reductase TM7SF2 (Delta-14-SR) (EC 1.3.1.70) (3-beta-hydroxysterol Delta (14)-reductase) (C-14 sterol reductase) (C14SR) (Sterol C14-reductase) (Transmembrane 7 superfamily member 2)	Tm7sf2	Mus musculus (Mouse)	ERG24_MOUSE
Q9ET47	Espin (Ectoplasmic specialization protein)	Espn	Mus musculus (Mouse)	ESPN_MOUSE
Q8BTJ4	Bis(5'-adenosyl)-triphosphatase enpp4 (EC 3.6.1.29) (AP3A hydrolase) (AP3Aase) (Ectonucleotide pyrophosphatase/phosphodiesterase family member 4) (E-NPP 4) (NPP-4)	Enpp4 Kiaa0879	Mus musculus (Mouse)	ENPP4_MOUSE
P60840	Alpha-endosulfine (ARPP-19e)	Ensa	Mus musculus (Mouse)	ENSA_MOUSE
Q8VBV3	Exosome complex component RRP4 (Exosome component 2) (Ribosomal RNA-processing protein 4)	Exosc2 Rrp4	Mus musculus (Mouse)	EXOS2_MOUSE
Q64695	Endothelial protein C receptor (Activated protein C receptor) (APC receptor) (Centrocyclin) (Centrosomal protein CCD41) (Endothelial cell protein C receptor) (CD antigen CD201)	Procr Epcr	Mus musculus (Mouse)	EPCR_MOUSE
A6H5Z3	Exocyst complex component 6B (Exocyst complex component Sec15B) (SEC15-like protein 2)	Exoc6b Sec15b Sec15l2	Mus musculus (Mouse)	EXC6B_MOUSE
Q8CDF7	piRNA biogenesis protein EXD1 (Exonuclease 3'-5' domain-containing protein 1) (Exonuclease 3'-5' domain-like-containing protein 1) (Inactive exonuclease EXD1) (mExd1)	Exd1 Exdl1	Mus musculus (Mouse)	EXD1_MOUSE
Q3TIW9	Ectonucleotide pyrophosphatase/phosphodiesterase family member 7 (E-NPP 7) (NPP-7) (EC 3.1.4.12) (Alkaline sphingomyelin phosphodiesterase) (Intestinal alkaline sphingomyelinase) (Alk-SMase)	Enpp7	Mus musculus (Mouse)	ENPP7_MOUSE
B2RWS6	Histone acetyltransferase p300 (p300 HAT) (EC 2.3.1.48) (E1A-associated protein p300) (Histone butyryltransferase p300) (EC 2.3.1.-) (Histone crotonyltransferase p300) (EC 2.3.1.-) (Protein 2-hydroxyisobutyryltransferase p300) (EC 2.3.1.-) (Protein lactyltransferas p300) (EC 2.3.1.-) (Protein propionyltransferase p300) (EC 2.3.1.-)	Ep300 P300	Mus musculus (Mouse)	EP300_MOUSE
Q9CRA8	Exosome complex component RRP46 (Exosome component 5) (Ribosomal RNA-processing protein 46)	Exosc5 D7Wsu180e Rrp46	Mus musculus (Mouse)	EXOS5_MOUSE
Q9DBT4	Ectonucleoside triphosphate diphosphohydrolase 4 (NTPDase 4) (EC 3.6.1.15) (EC 3.6.1.6) (Lysosomal apyrase-like protein of 70 kDa) (Uridine-diphosphatase) (UDPase) (EC 3.6.1.42)	Entpd4 Lalp70 Lysal1	Mus musculus (Mouse)	ENTP4_MOUSE
O08580	Steroid hormone receptor ERR1 (Estrogen receptor-like 1) (Estrogen-related receptor alpha) (ERR-alpha) (Nuclear receptor subfamily 3 group B member 1)	Esrra Err1 Estrra Nr3b1	Mus musculus (Mouse)	ERR1_MOUSE
Q9WUZ9	Ectonucleoside triphosphate diphosphohydrolase 5 (NTPDase 5) (EC 3.6.1.6) (CD39 antigen-like 4) (ER-UDPase) (Guanosine-diphosphatase ENTPD5) (GDPase ENTPD5) (EC 3.6.1.42) (Nucleoside diphosphatase) (Uridine-diphosphatase ENTPD5) (UDPase ENTPD5)	Entpd5 Cd39l4	Mus musculus (Mouse)	ENTP5_MOUSE
A2A870	Fas-binding factor 1 (FBF-1)	Fbf1	Mus musculus (Mouse)	FBF1_MOUSE
Q9Z2I2	Peptidyl-prolyl cis-trans isomerase FKBP1B (PPIase FKBP1B) (EC 5.2.1.8) (12.6 kDa FK506-binding protein) (12.6 kDa FKBP) (FKBP-12.6) (FK506-binding protein 1B) (FKBP-1B) (Immunophilin FKBP12.6) (Rotamase)	Fkbp1b	Mus musculus (Mouse)	FKB1B_MOUSE
P16092	Fibroblast growth factor receptor 1 (FGFR-1) (bFGF-R-1) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1) (MFR) (Proto-oncogene c-Fgr) (CD antigen CD331)	Fgfr1 Flg	Mus musculus (Mouse)	FGFR1_MOUSE
Q9QZM9	F-box only protein 16	Fbxo16 Fbx16	Mus musculus (Mouse)	FBX16_MOUSE
Q8C0T1	Protein fem-1 homolog A-B (FEM1a-B) (FEM1-alpha-B)	Fem1ab	Mus musculus (Mouse)	FM1AB_MOUSE
Q3TR08	Fibronectin type III domain-containing protein 4 (Fibronectin type III repeat-containing protein 1)	Fndc4 Fnmp1 Frcp1	Mus musculus (Mouse)	FNDC4_MOUSE
P11088	Filaggrin (Fragment)	Flg	Mus musculus (Mouse)	FILA_MOUSE
P02772	Alpha-fetoprotein (Alpha-1-fetoprotein) (Alpha-fetoglobulin)	Afp	Mus musculus (Mouse)	FETA_MOUSE
Q8CDM8	FHF complex subunit HOOK interacting protein 2A (FHIP2A)	Fhip2a Fam160b1 Kiaa1600	Mus musculus (Mouse)	FHI2A_MOUSE
P35550	rRNA 2'-O-methyltransferase fibrillarin (EC 2.1.1.-) (Histone-glutamine methyltransferase) (Nucleolar protein 1) (U6 snRNA 2'-O-methyltransferase fibrillarin)	Fbl	Mus musculus (Mouse)	FBRL_MOUSE
Q8BHL6	Fanconi anemia core complex-associated protein 24 (Fanconi anemia-associated protein of 24 kDa)	Faap24	Mus musculus (Mouse)	FAP24_MOUSE
Q8BNA6	Protocadherin Fat 3 (FAT tumor suppressor homolog 3)	Fat3 Gm1132 Gm510	Mus musculus (Mouse)	FAT3_MOUSE
Q8BGE5	Fanconi anemia group M protein homolog (Protein FACM) (EC 3.6.4.13) (ATP-dependent RNA helicase FANCM)	Fancm Kiaa1596	Mus musculus (Mouse)	FANCM_MOUSE
P10518	Delta-aminolevulinic acid dehydratase (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)	Alad Lv	Mus musculus (Mouse)	HEM2_MOUSE
Q11131	Alpha-(1,3)-fucosyltransferase 7 (EC 2.4.1.-) (Fucosyltransferase 7) (Fucosyltransferase VII) (Fuc-TVII) (FucT-VII) (Galactoside 3-L-fucosyltransferase)	Fut7	Mus musculus (Mouse)	FUT7_MOUSE
Q6XQH0	Galactose-3-O-sulfotransferase 2 (Gal3ST-2) (EC 2.8.2.-) (Beta-galactose-3-O-sulfotransferase 2) (Gal-beta-1, 3-GalNAc 3'-sulfotransferase 2)	Gal3st2 Gm988	Mus musculus (Mouse)	G3ST2_MOUSE
Q9Z1S8	GRB2-associated-binding protein 2 (GRB2-associated binder 2) (Growth factor receptor bound protein 2-associated protein 2) (PH domain-containing adaptor molecule p97)	Gab2	Mus musculus (Mouse)	GAB2_MOUSE
Q8C180	Fibroblast growth factor receptor substrate 2 (FGFR substrate 2) (FGFR-signaling adaptor SNT) (FRS2-alpha) (Suc1-associated neurotrophic factor target 1) (SNT-1)	Frs2 Frs2a	Mus musculus (Mouse)	FRS2_MOUSE
Q8JZP9	GAS2-like protein 1 (Growth arrest-specific protein 2-like 1)	Gas2l1	Mus musculus (Mouse)	GA2L1_MOUSE
Q8BKE5	Fibrinogen silencer-binding protein	Fsbp	Mus musculus (Mouse)	FSBP_MOUSE
Q8BZ52	Fibronectin type III and SPRY domain-containing protein 2 (Minispryn) (SPRY domain-containing protein 1)	Fsd2 Spryd1	Mus musculus (Mouse)	FSD2_MOUSE
A4FUQ5	Formyl peptide receptor-related sequence 4 (N-formylpeptide receptor-like 4)	Fpr-rs4	Mus musculus (Mouse)	FPRS4_MOUSE
O88536	Formyl peptide receptor 2 (Formylpeptide receptor-related sequence 2) (Lipoxin A4 receptor-like protein) (N-formylpeptide receptor-like 2)	Fpr2 Fpr-rs2	Mus musculus (Mouse)	FPR2_MOUSE
Q60987	Forkhead box protein G1 (FoxG1) (Brain factor 1) (BF-1) (BF1) (Forkhead-related protein FKHL1)	Foxg1 Fkhl1 Foxg1b Hfhbf1	Mus musculus (Mouse)	FOXG1_MOUSE
Q684R7	FRAS1-related extracellular matrix protein 1 (Protein QBRICK)	Frem1	Mus musculus (Mouse)	FREM1_MOUSE
O08790	Formyl peptide receptor-related sequence 1 (FMLP-related receptor I) (FMLP-R-I) (Formyl peptide receptor related sequence 1) (Formyl peptide receptor-like 1) (Lipoxin A4 receptor) (LXA4 receptor) (N-formyl peptide receptor 2) (N-formyl peptide receptor 3)	Fpr-s1 Fpr2 Fpr3 Fprl1 Lxa4r	Mus musculus (Mouse)	FPRS1_MOUSE
Q80T14	Extracellular matrix organizing protein FRAS1	Fras1 Kiaa1500	Mus musculus (Mouse)	FRAS1_MOUSE
A3KGK3	Fer-1-like protein 4	Fer1l4	Mus musculus (Mouse)	FR1L4_MOUSE
Q3U0V1	Far upstream element-binding protein 2 (FUSE-binding protein 2) (KH type-splicing regulatory protein) (KSRP)	Khsrp Fubp2	Mus musculus (Mouse)	FUBP2_MOUSE
Q8K3Q3	Forkhead box protein N4	Foxn4	Mus musculus (Mouse)	FOXN4_MOUSE
Q922K9	Tyrosine-protein kinase FRK (EC 2.7.10.2) (Beta-cell Src-homology tyrosine kinase) (BSK) (FYN-related kinase) (Intestine tyrosine kinase)	Frk Bsk Iyk	Mus musculus (Mouse)	FRK_MOUSE
Q3UTB7	Forkhead box protein R1 (Forkhead box protein N5)	Foxr1 Foxn5 Gm1115	Mus musculus (Mouse)	FOXR1_MOUSE
Q0VGT2	Zinc finger protein GLI2 (Tax helper protein)	Gli2 Thp	Mus musculus (Mouse)	GLI2_MOUSE
E9PW74	GTPase IMAP family member GIMD1 (GIMAP family P-loop NTPase domain-containing protein 1)	Gimd1 Gm5549	Mus musculus (Mouse)	GIMD1_MOUSE
O70237	Zinc finger protein Gfi-1b (Growth factor independent protein 1B)	Gfi1b	Mus musculus (Mouse)	GFI1B_MOUSE
Q9CYH5	Glucose-fructose oxidoreductase domain-containing protein 2 (EC 1.-.-.-)	Gfod2	Mus musculus (Mouse)	GFOD2_MOUSE
P63216	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-3	Gng3 Gngt3	Mus musculus (Mouse)	GBG3_MOUSE
O88477	Insulin-like growth factor 2 mRNA-binding protein 1 (IGF2 mRNA-binding protein 1) (IMP-1) (Coding region determinant-binding protein) (CRD-BP) (IGF-II mRNA-binding protein 1) (VICKZ family member 1) (Zipcode-binding protein 1) (ZBP-1)	Igf2bp1 Vickz1	Mus musculus (Mouse)	IF2B1_MOUSE
Q80SZ7	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5	Gng5 Gngt5	Mus musculus (Mouse)	GBG5_MOUSE
Q8BUZ1	Actin-binding Rho-activating protein (Striated muscle activator of Rho-dependent signaling) (STARS)	Abra	Mus musculus (Mouse)	ABRA_MOUSE
Q7TSK7	ADAMTS-like protein 2 (ADAMTSL-2) (TSP1-repeat-containing protein 1) (TCP-1)	Adamtsl2 Kiaa0605 Tcp1	Mus musculus (Mouse)	ATL2_MOUSE
Q8R2Y0	Monoacylglycerol lipase ABHD6 (EC 3.1.1.23) (2-arachidonoylglycerol hydrolase) (Abhydrolase domain-containing protein 6)	Abhd6	Mus musculus (Mouse)	ABHD6_MOUSE
Q91V92	ATP-citrate synthase (EC 2.3.3.8) (ATP-citrate (pro-S-)-lyase) (Citrate cleavage enzyme)	Acly	Mus musculus (Mouse)	ACLY_MOUSE
Q5SSE9	ATP-binding cassette sub-family A member 13 (EC 7.6.2.-)	Abca13	Mus musculus (Mouse)	ABCAD_MOUSE
B5X0E4	ATP-binding cassette sub-family B member 5 (ABCB5 P-gp) (P-glycoprotein ABCB5) (EC 7.6.2.2)	Abcb5	Mus musculus (Mouse)	ABCB5_MOUSE
Q922Q6	Protein ABHD14A (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 14A) (Abhydrolase domain-containing protein 14A) (Down-regulated in Zic-1-mutant protein)	Abhd14a Dorz1	Mus musculus (Mouse)	ABHEA_MOUSE
Q8VCR7	Protein ABHD14B (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 14B) (Abhydrolase domain-containing protein 14B) (CCG1-interacting factor B)	Abhd14b Cib	Mus musculus (Mouse)	ABHEB_MOUSE
Q9JI39	ATP-binding cassette sub-family B member 10, mitochondrial (ABC-mitochondrial erythroid protein) (ABC-me protein) (ATP-binding cassette transporter 10) (ABC transporter 10 protein)	Abcb10	Mus musculus (Mouse)	ABCBA_MOUSE
Q3UX83	Probable inactive 1-aminocyclopropane-1-carboxylate synthase-like protein 2 (ACC synthase-like protein 2)	Accsl Gm1967	Mus musculus (Mouse)	1A1L2_MOUSE
Q920H4	Muscarinic acetylcholine receptor M5	Chrm5	Mus musculus (Mouse)	ACM5_MOUSE
Q8R519	2-amino-3-carboxymuconate-6-semialdehyde decarboxylase (EC 4.1.1.45) (Picolinate carboxylase)	Acmsd	Mus musculus (Mouse)	ACMSD_MOUSE
Q8BYZ1	ABI gene family member 3 (New molecule including SH3) (Nesh)	Abi3 Nesh	Mus musculus (Mouse)	ABI3_MOUSE
Q07456	Protein AMBP [Cleaved into: Alpha-1-microglobulin; Inter-alpha-trypsin inhibitor light chain (ITI-LC) (Bikunin) (HI-30); Trypstatin]	Ambp Itil	Mus musculus (Mouse)	AMBP_MOUSE
P58158	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3 (EC 2.4.1.135) (Beta-1,3-glucuronyltransferase 3) (Glucuronosyltransferase I) (GlcAT-I) (UDP-GlcUA:Gal beta-1,3-Gal-R glucuronyltransferase) (GlcUAT-I)	B3gat3	Mus musculus (Mouse)	B3GA3_MOUSE
P70170	ATP-binding cassette sub-family C member 9 (Sulfonylurea receptor 2)	Abcc9 Sur2	Mus musculus (Mouse)	ABCC9_MOUSE
P50544	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial (EC 1.3.8.9) (MVLCAD) (VLCAD)	Acadvl Vlcad	Mus musculus (Mouse)	ACADV_MOUSE
Q8K2H4	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1 (Centaurin-beta-1) (Cnt-b1)	Acap1 Centb1 Kiaa0050	Mus musculus (Mouse)	ACAP1_MOUSE
Q6PD28	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit beta isoform (PP2A B subunit isoform B'-beta) (PP2A B subunit isoform B56-beta) (PP2A B subunit isoform PR61-beta) (PP2A B subunit isoform R5-beta)	Ppp2r5b	Mus musculus (Mouse)	2A5B_MOUSE
Q6ZQK5	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 (Centaurin-beta-2) (Cnt-b2)	Acap2 Centb2 Kiaa0041	Mus musculus (Mouse)	ACAP2_MOUSE
Q99J27	Acetyl-coenzyme A transporter 1 (AT-1) (Acetyl-CoA transporter 1) (Solute carrier family 33 member 1)	Slc33a1 Acatn	Mus musculus (Mouse)	ACATN_MOUSE
O54904	Beta-1,3-galactosyltransferase 1 (Beta-1,3-GalTase 1) (Beta3Gal-T1) (Beta3GalT1) (EC 2.4.1.86) (UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase-I) (UDP-galactose:beta-N-acetyl-glucosamine-beta-1,3-galactosyltransferase 1)	B3galt1	Mus musculus (Mouse)	B3GT1_MOUSE
Q9CQR4	Acyl-coenzyme A thioesterase 13 (Acyl-CoA thioesterase 13) (EC 3.1.2.-) (Hotdog-fold thioesterase superfamily member 2) (Palmitoyl-CoA hydrolase) (EC 3.1.2.2) (Thioesterase superfamily member 2) (THEM2)	Acot13 Them2	Mus musculus (Mouse)	ACO13_MOUSE
Q78JT3	3-hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6) (3-hydroxyanthranilate oxygenase) (3-HAO) (3-hydroxyanthranilic acid dioxygenase) (HAD)	Haao	Mus musculus (Mouse)	3HAO_MOUSE
Q6P542	ATP-binding cassette sub-family F member 1	Abcf1	Mus musculus (Mouse)	ABCF1_MOUSE
Q04211	Protein BTG2 (BTG family member 2) (NGF-inducible protein TIS21)	Btg2 Tis21	Mus musculus (Mouse)	BTG2_MOUSE
Q9D061	Acyl-CoA-binding domain-containing protein 6	Acbd6	Mus musculus (Mouse)	ACBD6_MOUSE
Q8K268	ATP-binding cassette sub-family F member 3	Abcf3	Mus musculus (Mouse)	ABCF3_MOUSE
